user_id,first_name,last_name,maiden_name,age,gender,email,phone,username,birth_date,image,blood_group,height,weight,eye_color,hair_color,hair_type,ip_address,address,city,state,state_code,postal_code,country,mac_address,university,user_agent,crypto_coin,crypto_wallet,crypto_network
16,Avery,Perez,,26.0,female,avery.perez@x.dummyjson.com,+61 731-431-3457,averyp,1999-03-10,https://dummyjson.com/icon/averyp/128,O-,172.68,93.9,Brown,Green,Curly,131.217.4.214,1125 First Street,columbus,iowa,IA,30973,united states,b3:ff:f3:c5:37:46,Harvard University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
17,Evelyn,Sanchez,,38.0,female,evelyn.sanchez@x.dummyjson.com,+1 623-880-6871,evelyns,1987-10-13,https://dummyjson.com/icon/evelyns/128,B+,184.08,83.15,Violet,Blue,Curly,87.114.135.146,1170 Lincoln Street,san diego,wyoming,WY,43423,united states,f8:e5:bd:43:bc:d8,Washington University in St. Louis,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
18,Logan,Torres,,32.0,male,logan.torres@x.dummyjson.com,+81 507-434-8733,logant,1993-10-26,https://dummyjson.com/icon/logant/128,A+,190.04,72.43,Green,Green,Curly,155.98.15.162,907 Seventh Street,columbus,arkansas,AR,78805,united states,40:d:5c:1:7d:bf,University of Illinois--Urbana-Champaign,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
19,Abigail,Rivera,,29.0,female,abigail.rivera@x.dummyjson.com,+91 228-363-7806,abigailr,1996-10-11,https://dummyjson.com/icon/abigailr/128,B+,186.39,74.61,Violet,Blue,Kinky,19.183.240.94,996 Oak Street,chicago,new mexico,NM,11407,united states,1d:a6:58:2a:e5:e4,California Institute of Technology (Caltech),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
20,Jackson,Evans,,35.0,male,jackson.evans@x.dummyjson.com,+44 468-628-6686,jacksone,1990-11-30,https://dummyjson.com/icon/jacksone/128,O-,162.57,74.37,Green,Red,Straight,221.127.144.198,1873 Main Street,new york,arkansas,AR,26600,united states,81:14:1:97:88:85,Ohio State University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
21,Madison,Collins,,27.0,female,madison.collins@x.dummyjson.com,+81 259-957-5711,madisonc,1998-03-07,https://dummyjson.com/icon/madisonc/128,B-,189.28,56.96,Red,Gray,Curly,85.34.1.204,1892 Lincoln Street,philadelphia,new jersey,NJ,62091,united states,13:b0:d0:23:4d:26,University of Pennsylvania,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
22,Elijah,Stewart,,34.0,male,elijah.stewart@x.dummyjson.com,+44 468-357-7872,elijahs,1991-10-22,https://dummyjson.com/icon/elijahs/128,A-,195.33,81.64,Blue,Purple,Straight,23.87.135.62,1701 Eighth Street,columbus,illinois,IL,31585,united states,75:17:c6:35:fc:6d,Georgetown University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
23,Chloe,Morales,,40.0,female,chloe.morales@x.dummyjson.com,+92 468-541-7133,chloem,1985-04-21,https://dummyjson.com/icon/chloem/128,O+,185.07,63.97,Brown,Red,Kinky,66.78.20.21,401 Fourth Street,dallas,new jersey,NJ,54972,united states,fc:f:29:e1:37:b8,Syracuse University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
24,Mateo,Nguyen,,31.0,male,mateo.nguyen@x.dummyjson.com,+1 341-597-6694,mateon,1994-06-02,https://dummyjson.com/icon/mateon/128,O+,174.29,59.98,Red,Purple,Wavy,192.57.144.7,1578 Fourth Street,columbus,missouri,MO,20673,united states,a7:26:10:7a:36:29,Columbia University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
25,Harper,Kelly,Evans,28.0,female,harper.kelly@x.dummyjson.com,+92 518-863-2863,harpere,1997-03-03,https://dummyjson.com/icon/harpere/128,AB-,184.32,81.69,Amber,Red,Curly,174.111.61.162,1591 Adams Street,philadelphia,new york,NY,69521,united states,b:ff:33:67:94:e4,Boston College,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
26,Evelyn,Gonzalez,,36.0,female,evelyn.gonzalez@x.dummyjson.com,+61 708-508-4638,evelyng,1989-02-05,https://dummyjson.com/icon/evelyng/128,O+,168.94,58.47,Red,Black,Wavy,42.52.74.232,1065 Lincoln Street,dallas,maine,ME,84898,united states,89:5e:5a:2a:72:42,Washington University in St. Louis,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
27,Daniel,Cook,,42.0,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,Blonde,Curly,1.61.73.142,1163 Pine Street,los angeles,nevada,NV,58781,united states,6e:73:dc:3a:85:10,Columbia University,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
28,Lily,Lee,Brown,30.0,female,lily.lee@x.dummyjson.com,+1 808-757-9867,lilyb,1995-12-03,https://dummyjson.com/icon/lilyb/128,AB-,181.42,51.49,Gray,Purple,Straight,67.184.255.96,1946 Oak Street,phoenix,massachusetts,MA,41540,united states,18:b6:c7:a:50:3f,Johns Hopkins University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
29,Henry,Hill,,39.0,male,henry.hill@x.dummyjson.com,+1 240-833-4680,henryh,1986-08-19,https://dummyjson.com/icon/henryh/128,O-,180.25,95.84,Gray,Black,Straight,194.43.55.202,1837 Maple Street,indianapolis,delaware,DE,81783,united states,fa:c3:1b:21:5f:44,University of Illinois--Urbana-Champaign,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
30,Addison,Wright,,33.0,female,addison.wright@x.dummyjson.com,+1 514-384-3300,addisonw,1992-01-03,https://dummyjson.com/icon/addisonw/128,B+,179.32,76.93,Brown,Blonde,Straight,11.35.69.81,568 Tenth Street,san francisco,montana,MT,54698,united states,fb:0:94:21:16:c,Syracuse University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
31,Gabriel,Adams,,37.0,male,gabriel.adams@x.dummyjson.com,+91 936-400-4116,gabriela,1988-09-05,https://dummyjson.com/icon/gabriela/128,B+,181.72,79.14,Green,Blonde,Curly,22.129.163.106,1814 Cedar Street,charlotte,indiana,IN,21191,united states,a6:1e:22:5f:fd:49,Massachusetts Institute of Technology (MIT),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
32,Natalie,Harris,,29.0,female,natalie.harris@x.dummyjson.com,+49 584-501-9302,natalieh,1996-07-23,https://dummyjson.com/icon/natalieh/128,AB+,196.7,57.0,Green,Black,Wavy,15.75.88.81,356 Pine Street,san jose,mississippi,MS,31121,united states,96:92:8f:92:af:fe,Washington University in St. Louis,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
33,Carter,Baker,,32.0,male,carter.baker@x.dummyjson.com,+49 787-512-9117,carterb,1993-04-19,https://dummyjson.com/icon/carterb/128,A+,190.96,70.78,Green,Brown,Straight,167.111.147.45,625 Third Street,denver,oregon,OR,74622,united states,35:0:ad:91:5f:f3,Washington University in St. Louis,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
34,Sofia,Mitchell,,26.0,female,sofia.mitchell@x.dummyjson.com,+92 957-686-6804,sofiam,1999-11-18,https://dummyjson.com/icon/sofiam/128,O-,186.93,69.14,Red,Blonde,Curly,214.76.55.140,21 Cedar Street,san francisco,oregon,OR,42411,united states,23:b:b2:dd:6:f,University of North Carolina--Chapel Hill,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
35,Jack,Ward,,30.0,male,jack.ward@x.dummyjson.com,+91 857-765-4373,jackw,1995-09-23,https://dummyjson.com/icon/jackw/128,B-,198.13,56.73,Hazel,White,Kinky,131.243.182.227,164 Elm Street,phoenix,idaho,ID,42061,united states,33:6c:1c:b8:f5:92,Pepperdine University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
36,Harper,Turner,,34.0,female,harper.turner@x.dummyjson.com,+49 980-340-5333,harpert,1991-01-14,https://dummyjson.com/icon/harpert/128,A+,191.03,70.18,Gray,Red,Curly,102.200.5.180,1964 Fifth Street,dallas,utah,UT,63361,united states,3c:5f:b3:2:1c:5,Boston University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
37,Mason,Parker,,35.0,male,mason.parker@x.dummyjson.com,+61 837-389-4095,masonp,1990-04-20,https://dummyjson.com/icon/masonp/128,AB+,171.56,76.25,Hazel,Gray,Wavy,97.184.116.71,419 Elm Street,seattle,louisiana,LA,20540,united states,51:97:60:8b:4a:75,Yale University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
38,Aria,Roberts,,27.0,female,aria.roberts@x.dummyjson.com,+61 411-514-5320,ariar,1998-03-25,https://dummyjson.com/icon/ariar/128,A-,199.62,88.96,Gray,Blue,Curly,208.86.10.37,560 Fifth Street,seattle,rhode island,RI,70664,united states,7d:16:14:f8:d5:4,Princeton University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
39,Lucas,Gray,,31.0,male,lucas.gray@x.dummyjson.com,+44 687-435-7119,lucasg,1994-04-06,https://dummyjson.com/icon/lucasg/128,O-,195.26,88.5,Amber,Red,Wavy,56.97.195.115,590 Lincoln Street,houston,wisconsin,WI,12506,united states,39:83:8b:37:af:6e,Syracuse University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
40,Ella,Adams,,28.0,female,ella.adams@x.dummyjson.com,+1 450-865-6061,ellaa,1997-06-20,https://dummyjson.com/icon/ellaa/128,B-,167.53,64.19,Hazel,White,Wavy,175.172.136.236,1420 First Street,washington,utah,UT,85475,united states,fb:e6:93:1f:65:b1,Northeastern University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
41,Evan,Reed,,33.0,male,evan.reed@x.dummyjson.com,+61 932-569-4853,evanr,1992-06-16,https://dummyjson.com/icon/evanr/128,O+,152.55,90.4,Blue,Blonde,Kinky,6.25.22.101,98 Tenth Street,san antonio,north carolina,NC,19937,united states,4d:df:1b:97:83:c0,University of California--Irvine,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
42,Avery,Carter,,29.0,female,avery.carter@x.dummyjson.com,+44 254-655-6112,averyc,1996-08-21,https://dummyjson.com/icon/averyc/128,B-,179.92,59.37,Blue,Blue,Straight,187.69.252.251,1999 Seventh Street,san diego,west virginia,WV,13916,united states,f0:9a:ba:d9:48:d5,Yale University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
43,Benjamin,Foster,,35.0,male,benjamin.foster@x.dummyjson.com,+61 333-911-3476,benjaminf,1990-11-01,https://dummyjson.com/icon/benjaminf/128,O+,164.2,58.9,Gray,Blue,Kinky,132.29.94.179,25 Sixth Street,san diego,delaware,DE,48884,united states,39:b4:48:18:5:9c,University of Michigan--Ann Arbor,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
44,Scarlett,Wright,,27.0,female,scarlett.wright@x.dummyjson.com,+1 599-432-3048,scarlettw,1998-05-09,https://dummyjson.com/icon/scarlettw/128,A+,180.04,70.75,Brown,Gray,Straight,243.186.233.187,1276 Cedar Street,phoenix,vermont,VT,32823,united states,79:c9:54:dd:af:2a,University of Pennsylvania,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
45,Lincoln,Kelly,,31.0,male,lincoln.kelly@x.dummyjson.com,+49 680-666-9673,lincolnk,1994-01-12,https://dummyjson.com/icon/lincolnk/128,A+,191.01,73.38,Amber,White,Straight,82.138.239.3,108 Adams Street,columbus,montana,MT,51083,united states,f6:3c:e7:3b:d6:40,Yale University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
46,Hannah,Robinson,,30.0,female,hannah.robinson@x.dummyjson.com,+92 556-625-4398,hannahr,1995-02-02,https://dummyjson.com/icon/hannahr/128,AB+,150.25,67.93,Brown,Green,Kinky,82.201.57.248,666 Fourth Street,phoenix,west virginia,WV,82463,united states,d5:da:6d:bc:6d:1b,Harvard University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
47,Nicholas,Bailey,,36.0,male,nicholas.bailey@x.dummyjson.com,+49 212-856-4272,nicholasb,1989-06-14,https://dummyjson.com/icon/nicholasb/128,A+,162.29,50.86,Gray,Gray,Curly,171.101.211.225,55 Madison Street,chicago,rhode island,RI,58331,united states,74:f6:24:f2:f7:6d,Yale University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
48,Luna,Russell,,28.0,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,1997-06-18,https://dummyjson.com/icon/lunar/128,O-,188.0,76.37,Hazel,White,Straight,218.176.123.51,968 Elm Street,san diego,colorado,CO,64610,united states,d0:4b:7c:b2:be:9d,University of Florida,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
